Month,Calls Answered,Svc Level (% answered w/i 60 sec),Avg Speed Answer (sec),Transferred Calls %
12-01-2022 00:00,71042,43.70%,138,8.30%
11-01-2022 00:00,70038,43.80%,149,8.60%
10-01-2022 00:00,73047,32.30%,191,9.10%
09-01-2022 00:00,74445,41.10%,124,8.90%
08-01-2022 00:00,73027,32.60%,217,9.60%
07-01-2022 00:00,77644,33.90%,214,7.80%
06-01-2022 00:00,74064,29.10%,217,8.70%
05-01-2022 00:00,80836,32.60%,215,8.40%
04-01-2022 00:00,84685,38.40%,156,8.70%
03-01-2022 00:00,89074,37.30%,153,9%
02-01-2022 00:00,83668,33.10%,191,8%
01-01-2022 00:00,95264,56.20%,78,8.60%
12-01-2021 00:00,98471,66.40%,54,8.40%
11-01-2021 00:00,92950,76.20%,33,8.30%
10-01-2021 00:00,104600,67.10%,49,9.20%
09-01-2021 00:00,96923,67.90%,49,9%
08-01-2021 00:00,94395,65.20%,56,7.80%
07-01-2021 00:00,94203,53.50%,81,7.60%
06-01-2021 00:00,102033,61%,65,7.10%
05-01-2021 00:00,107497,50.10%,103,5.90%
04-01-2021 00:00,103566,48.30%,107,6.20%
03-01-2021 00:00,110136,67.30%,42,6.30%
02-01-2021 00:00,100580,61.90%,59,5.50%
01-01-2021 00:00,121394,85.60%,16,5.20%
12-01-2020 00:00,113750,77.30%,28,5.30%
11-01-2020 00:00,113133,77.70%,28,5.40%
10-01-2020 00:00,126056,74.20%,31,5.50%
09-01-2020 00:00,121604,79.80%,23,5.70%
08-01-2020 00:00,121104,75.70%,28,6.10%
07-01-2020 00:00,116029,56.40%,67,6%
06-01-2020 00:00,117349,67%,42,5.40%
05-01-2020 00:00,124333,60.40%,54,5%
04-01-2020 00:00,122734,70.20%,40,5%
03-01-2020 00:00,125825,81.90%,21,5%
02-01-2020 00:00,120020,77.10%,27,4.60%
01-01-2020 00:00,131558,81.40%,21,4.60%
12-01-2019 00:00,120220,71.80%,36,4.50%
11-01-2019 00:00,114922,76.60%,28,5.20%
10-01-2019 00:00,122768,61.30%,52,5.50%
09-01-2019 00:00,118191,67.10%,42,5.10%
08-01-2019 00:00,127378,69.20%,39,5.10%
07-01-2019 00:00,136980,75%,30,4.90%
06-01-2019 00:00,138571,77.50%,28,4.40%
05-01-2019 00:00,148285,73.50%,33,4.10%
04-01-2019 00:00,156245,73.80%,29,3.80%
03-01-2019 00:00,166171,73%,30,3.50%
02-01-2019 00:00,165053,71.80%,31,3.40%
01-01-2019 00:00,184228,76.60%,25,3.40%
12-01-2018 00:00,181294,80%,21,3.20%
11-01-2018 00:00,170315,80.60%,21,3.60%
10-01-2018 00:00,181815,70.90%,34,3.90%
09-01-2018 00:00,181669,72.20%,32,3.50%
08-01-2018 00:00,191730,70.10%,33,3.20%
07-01-2018 00:00,185664,67.50%,37,2.90%
06-01-2018 00:00,196064,66.40%,38,2.90%
05-01-2018 00:00,213989,73.20%,28,2.60%
04-01-2018 00:00,218046,79.10%,21,2.60%
03-01-2018 00:00,214265,84.30%,16,2.60%
02-01-2018 00:00,192744,81.40%,18,2.60%
12-01-2017 00:00,185076,83.90%,17,2.70%
11-01-2017 00:00,164937,73.10%,31,3.20%
10-01-2017 00:00,178612,70%,37,3.20%
09-01-2017 00:00,168948,58.60%,54,3.20%
08-01-2017 00:00,186327,66.20%,41,3.10%
07-01-2017 00:00,187189,72.60%,31,2.90%
06-01-2017 00:00,204547,77.60%,26,2.60%
05-01-2017 00:00,224528,72.40%,31,2.20%
04-01-2017 00:00,217776,83.40%,18,2.20%
03-01-2017 00:00,228119,82.90%,18,2.20%
02-01-2017 00:00,220417,74.50%,27,1.90%
01-01-2017 00:00,249735,83.90%,17,1.60%
12-01-2016 00:00,240583,77.40%,25,1.80%
11-01-2016 00:00,218179,66.60%,38,1.90%
10-01-2016 00:00,225413,53.10%,59,2.20%
09-01-2016 00:00,245370,69.10%,34,1.60%
08-01-2016 00:00,238607,69.30%,34,1.70%
07-01-2016 00:00,232628,71.20%,32,2%
06-01-2016 00:00,252511,75.80%,26,1.40%
05-01-2016 00:00,275526,81.10%,20,1.20%
04-01-2016 00:00,287364,77.60%,22,1.20%
03-01-2016 00:00,295455,75.90%,24,1.30%
02-01-2016 00:00,277695,78.90%,21,1.10%
01-01-2016 00:00,300802,80.10%,19,1.20%
12-01-2015 00:00,287992,76.10%,25,1.30%
11-01-2015 00:00,269631,73.70%,28,1.20%
10-01-2015 00:00,280100,57.90%,48,1.50%
08-01-2015 00:00,311183,64.30%,37,1.20%
06-01-2015 00:00,272756,58.80%,44,
05-01-2015 00:00,277562,61.30%,41,
03-01-2015 00:00,242789,54.90%,47,
02-01-2015 00:00,248027,69.50%,29,
01-01-2015 00:00,247503,75%,23,
12-01-2014 00:00,231879,85%,13,
11-01-2014 00:00,215748,88.40%,10,
10-01-2014 00:00,209998,84%,14,
09-01-2014 00:00,175737,79.60%,18,
08-01-2014 00:00,173047,90.70%,14,
05-01-2014 00:00,111137,75.30%,,
01-01-2023 00:00,78059,46.70%,140,8.90%
04-01-2023 00:00,73083,58.90%,154,11.80%
03-01-2023 00:00,72182,47.70%,119,11.20%
02-01-2023 00:00,68355,39%,194,10.40%
05-01-2022 00:00,75324,56.90%,188,12.40%
05-01-2023 00:00,75324,56.90%,188,12.40%
06-01-2023 00:00,77887,61.40%,131,12.10%
07-01-2023 00:00,75454,56.60%,117,10.70%
08-01-2023 00:00,87389,57.50%,124,21.60%
09-01-2015 00:00,282590,50.80%,55,1.20%
09-01-2023 00:00,81765,60.80%,82,9.80%
01-01-2018 00:00,205797,86%,14,2.70%
10-01-2023 00:00,80919,60%,78,11%
11-01-2023 00:00,74029,68.80%,52,10.30%
12-01-2023 00:00,76264,72%,48,10.40%
04-01-2015 00:00,250749,55%,48,
01-01-2024 00:00,88607,72.20%,38,8.40%
02-01-2024 00:00,73473,69.20%,59,9.90%
06-01-2014 00:00,141639,86.10%,,
03-01-2024 00:00,79410,74.10%,37,11.90%
04-01-2024 00:00,73427,72.70%,55,8%
05-01-2024 00:00,76847,60.10%,108,8.10%
06-01-2024 00:00,75870,70.80%,59,8.10%
07-01-2024 00:00,76892,73.80%,54,8.20%
08-01-2024 00:00,75949,60.60%,88,7.80%
09-01-2024 00:00,68468,51.50%,127,7.80%
10-01-2024 00:00,72996,57.60%,102,9.80%
04-01-2014 00:00,91892,68.80%,,
07-01-2014 00:00,160996,91.80%,12,
07-01-2015 00:00,293598,66.90%,34,1.40%
11-01-2024 00:00,72053,77.90%,46,9.10%
